,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
51,"1,3,5-trimethylcyclohexane",35.7,0.0,0.0,0.0,64.3,0.0,0.0,0.0,126.0,1.16,30.5
52,n-buytlcyclohexane,10.7142857142857,30.0,0.0,0.0,59.2857142857143,0.0,0.0,0.0,140.0,0.5,47.6
53,Decahydronaphthalene,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138.0,1.0,33.0
54,Perhydro-phenanthrene,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,194.0,1.5,38.8
55,"1,3,5-triisopropylcyclohexane",42.8571428571429,0.0,18.5714285714286,0.0,38.5714285714286,0.0,0.0,0.0,210.0,1.6,25.3
56,Toluene,16.304,0.0,0.0,0.0,0.0,83.695,0.0,0.0,92.0,1.0,6.0
57,Ethylbenzene,14.15,13.2,0.0,0.0,0.0,72.65,0.0,0.0,106.0,1.0,6.29
58,"1,2-dimethylbenzene",28.3,0.0,0.0,0.0,0.0,71.7,0.0,0.0,106.0,1.0,8.3
59,"1,3-dimethylbenzene",28.3,0.0,0.0,0.0,0.0,71.7,0.0,0.0,106.0,1.167,7.0
60,"1,4-dimethyl benzene",28.3,0.0,0.0,0.0,0.0,71.7,0.0,0.0,106.0,1.33,6.19
61,"1,2,3-trimethylbenzene",37.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,120.0,1.33,10.14
62,"1,2,4-trimethylbenzene",37.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,120.0,1.5,8.9
63,"1,3,5-trimethylbenzene",37.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,120.0,1.66,8.0
64,n-butylbenzene,11.1940298507463,31.3432835820896,0.0,0.0,0.0,57.4626865671642,0.0,0.0,134.0,1.0,12.0
65,Indan,0.0,0.0,0.0,0.0,35.6,64.4,0.0,0.0,118.0,1.5,8.6
66,Tetralin,0.0,0.0,0.0,0.0,42.4242424242424,57.5757575757576,0.0,0.0,132.0,1.5,9.4
67,"1,3,5-triethylbenzene",27.7777777777778,25.9259259259259,0.0,0.0,0.0,46.2962962962963,0.0,0.0,162.0,1.8,7.6
68,methanol,46.88,0.0,0.0,0.0,0.0,0.0,53.12,0.0,32.0,0.0,6.1
69,ethanol,32.6,30.43,0.0,0.0,0.0,0.0,36.96,0.0,46.0,0.0,8.0
70,n-propanol,25.0,46.660000000000004,0.0,0.0,0.0,0.0,28.33,0.0,60.0,0.0,8.2
71,n-butanol,20.27,56.75,0.0,0.0,0.0,0.0,22.97,0.0,74.0,0.0,11.7
72,2-methylbutan-1-ol,34.089999999999996,31.81,14.77,0.0,0.0,0.0,19.317999999999998,0.0,88.0,0.3,11.36
73,2-methoxyethanol,19.73,36.84,0.0,0.0,0.0,0.0,22.36,21.05,76.0,0.0,15.5
74,2-butanol,40.54,18.91,17.56,0.0,0.0,0.0,22.97,0.0,74.0,0.25,8.14
75,2-methylpropan-2-ol,60.81,0.0,0.0,0.0,0.0,0.0,22.97,0.0,74.0,0.66,8.11
76,1-methoxy-2-propanol,33.33,15.55,14.44,0.0,0.0,0.0,18.88,17.77,90.0,0.2,16.3
77,cyclopentanol,0.0,0.0,0.0,0.0,80.24,0.0,19.76,0.0,86.0,0.5,9.8
78,2-methyl-2-butanol,51.14,15.91,0.0,0.0,0.0,0.0,19.32,0.0,88.0,0.5,12.1
79,3-methyl-1-butanol,34.1,31.82,14.77,0.0,0.0,0.0,19.32,0.0,88.0,0.2,12.8
80,2-isopropoxyethanol,28.84,26.92,12.5,0.0,0.0,0.0,16.34,15.39,104.0,0.166,27.8
81,cyclohexanol,0.0,0.0,0.0,0.0,83.0,0.0,17.0,0.0,100.0,0.5,16.3
82,"3-methoxy-3-methyl-
1-butanol",38.13,23.72,0.0,0.0,0.0,0.0,14.41,13.56,118.0,0.4,10.0
83,1-heptanol,12.93,72.41,0.0,0.0,0.0,0.0,14.66,0.0,116.0,0.0,29.0
84,2-heptanol,25.86,48.28,11.21,0.0,0.0,0.0,14.65,0.0,116.0,0.142,25.0
85,4-heptanol,25.86,48.28,11.21,0.0,0.0,0.0,14.65,0.0,116.0,0.285,21.0
86,guaiacol,12.1,0.0,0.0,0.0,0.0,61.3,13.7,12.9,124.0,1.0,19.3
87,2-phenylethanol,0.0,22.95,0.0,0.0,0.0,63.11,13.93,0.0,122.0,1.0,8.0
88,"1,2 dimethoxybenzene",21.74,0.0,0.0,0.0,0.0,55.07,0.0,23.18,138.0,1.0,17.0
89,4-methyl guaiacol,21.74,0.0,0.0,0.0,0.0,54.34,12.31,11.6,138.0,1.25,19.8
90,"2,6-dimethoxyphenol",19.48,0.0,0.0,0.0,0.0,48.7,11.04,20.77,154.0,1.33,26.0
91,1-octanol,11.54,75.39,0.0,0.0,0.0,0.0,13.08,0.0,130.0,0.0,33.9
92,3-octanol,23.08,53.84,10.0,0.0,0.0,0.0,13.08,0.0,130.0,0.187,25.1
93,2-ethyl-1-hexanol,23.08,53.84,10.0,0.0,0.0,0.0,13.08,0.0,130.0,0.285,23.5
94,4-propyl phenol,11.03,20.59,0.0,0.0,0.0,55.07,12.32,0.0,136.0,1.0,8.6
95,1-nonanol,10.41,77.78,0.0,0.0,0.0,0.0,11.8,0.0,144.0,0.0,46.2
96,2-nonanol,20.83,58.35,9.02,0.0,0.0,0.0,11.8,0.0,144.0,0.111,39.6
97,4-nonanol,20.83,58.35,9.02,0.0,0.0,0.0,11.8,0.0,144.0,0.222,28.0
98,"1,2-dimethoxyethane",33.33,31.11,0.0,0.0,0.0,0.0,0.0,35.55,90.0,0.0,81.0
99,tetrahydrofuran,0.0,0.0,0.0,0.0,77.78,0.0,0.0,22.22,72.0,0.5,21.9
100,2-methyl tetrahydrofuran,17.44,0.0,0.0,0.0,63.96,0.0,0.0,18.6,86.0,0.5,21.3
101,tetrahydropyran,0.0,0.0,0.0,0.0,81.4,0.0,0.0,18.6,86.0,0.5,38.2
102,"2,2- dimethoxypropane",57.7,0.0,0.0,0.0,0.0,0.0,0.0,30.77,104.0,0.6,31.3
103,Diethylether,40.54,37.830000000000005,0.0,0.0,0.0,0.0,0.0,21.62,74.0,0.0,139.0
104,Dibutylether,23.080000000000002,64.61,0.0,0.0,0.0,0.0,0.0,12.3,130.0,0.0,115.2
105,Dimethoxymethane,39.47,18.42,0.0,0.0,0.0,0.0,0.0,42.11,76.0,0.0,29.9
106,cyclopentyl methyl ether,15.0,0.0,0.0,0.0,69.0,0.0,0.0,16.0,100.0,0.5,47.3
107,"2-ethyl
tetrahydrofuran",15.0,14.0,0.0,0.0,55.0,0.0,0.0,16.0,100.0,0.5,28.1
108,diisopropyl ether,58.82,0.0,25.49,0.0,0.0,0.0,0.0,15.69,102.0,0.4,23.6
109,anisole,13.89,0.0,0.0,0.0,0.0,71.29,0.0,14.81,108.0,1.0,6.4
110,hexylmethyl ether,25.86,60.34,0.0,0.0,0.0,0.0,0.0,13.8,116.0,0.0,99.8
111,1-butoxy-2-propanol,22.72,42.42,9.85,0.0,0.0,0.0,12.88,12.12,132.0,0.125,36.1
112,diisobutylether,46.15,21.53,20.0,0.0,0.0,0.0,0.0,12.31,130.0,0.285,59.7
113,PRF 50,48.00137078933599,40.96837750151205,5.735730888759017,0.0,0.0,0.0,0.0,0.0,106.58360643975846,0.282154561703934,40.11
114,PRF 60,51.575930943114265,35.20352313585987,6.874683878933463,0.0,0.0,0.0,0.0,0.0,107.99544925863975,0.3426621110845603,36.1
115,PRF 70,55.14199109884675,29.452377100389295,8.01092853639725,0.0,0.0,0.0,0.0,0.0,109.44170414735702,0.40464446345815736,31.56
116,PRF 80,58.6995815389306,23.714890557312906,9.144474509953376,0.0,0.0,0.0,0.0,0.0,110.92364476070411,0.4681562040301764,27.66
117,PRF 90,62.24873240208663,17.991014900556372,10.27533140262564,0.0,0.0,0.0,0.0,0.0,112.44260839238783,0.5332546453880491,23.27
118,TRF 40,23.726932018792024,37.937652540492564,0.0,0.0,0.0,38.33541544071541,0.0,0.0,96.16965838245896,0.478792702192629,36.72
119,TRF 45,23.027103075035484,34.36074905018136,0.0,0.0,0.0,42.61214787478317,0.0,0.0,95.76045837622374,0.5299427029720343,34.06
120,TRF 50,22.343796911385894,30.868295324861215,0.0,0.0,0.0,46.7879077637529,0.0,0.0,95.36426549809565,0.5794668127380443,30.97
121,TRF 55,21.676435207007415,27.45733550248235,0.0,0.0,0.0,50.866229290510226,0.0,0.0,94.98046926962198,0.6274413412972535,28.29
122,TRF 60,21.024466319210408,24.1250500759643,0.0,0.0,0.0,54.85048360482531,0.0,0.0,94.60849682692724,0.6739378966340959,25.8
123,TRF 65,20.387363762649677,20.868748120209457,0.0,0.0,0.0,58.74388811714088,0.0,0.0,94.24781006763757,0.7190237415453045,22.92
124,TRF 70,19.764624791383014,17.685860044846528,0.0,0.0,0.0,62.54951516377046,0.0,0.0,93.89790305361228,0.7627621182984636,19.84
125,TPRF 60-10,47.2484205373764,30.884363086150504,6.031221142272771,0.0,0.0,10.268714179794705,0.0,0.0,105.73985747552604,0.4353563466132131,32.22
126,TPRF 60-20,43.13375731297896,26.777639508256435,5.22924384394306,0.0,0.0,20.03236501733564,0.0,0.0,103.6808878953239,0.5199703324604775,29.08
127,TPRF 60-30,39.216614951586635,22.868055657477655,4.465764774857806,0.0,0.0,29.327320208516852,0.0,0.0,101.79390465204379,0.5975164870885882,26.2
128,TPRF 60-40,35.48310409818489,19.14174897967323,3.738076800361601,0.0,0.0,38.18653769067727,0.0,0.0,100.05822256121826,0.6688448744919822,22.69
129,TPRF 70-10,50.38192779134255,25.84260143584295,7.029084022369062,0.0,0.0,10.258001499027845,0.0,0.0,106.95646610008632,0.48947563698148816,28.93
